"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"House - Individual",,"4","For Rent - House","210000","5","3","1","1","House on rent at Baluwatar, (Garidhara) area KTM.","Location","27.717199325561523","85.3239974975586"
"CommercialBuilding","Mid baneshwor ( sachetan marga gate)",,"For Rent - Shutter & Shop Space","5000",,"1",,,"Small business Shutter for rent at mid baneshwor ","Sachetan Marga, Kathmandu 31, Nepal, Pandol Marg, Kathmandu-4, Kathmandu","27.726699829101562","85.3296127319336"
"House - Individual",,"4","For Rent - House","175000","6","3","1","2","House on rent at Baluwatar, Man area KTM.","Location","27.709524154663086","85.33587646484375"
"HouseIndividual",,"1","For Rent - Flat & Apartment","22000","2","2",,".","Brand new 2bk individual apartment rent sanepa","Sanepa Kuleshwor Bridge, Kathmandu-14, Kathmandu","0","0"
"Bunglow",,"3","For Sale - House","31000000","6","3","2","1","Bungalow For Sale In Ramkot","Nagarjun, Nagarjun Municipality, Kathmandu","27.705923080444336","85.27738189697266"
"HouseIndividual",,"1","For Rent - Flat & Apartment","22000","2","1",,".","Brand new 2bk individual apartment rent sanepa","Sanepa Khaja Ghar (magarni), कालो पुल मार्ग, Sanepa, Lalitpur-2, Lalitpur","0","0"
"LandIndividual",,,"For Sale - Land","1250000",,,,,"(Jharuwarashi) झरुवाराशीमा ४२ आना जग्गा बिक्रीमा","Dhamigau,  Godawari-13, Lalitpur,  Bagmati Pradesh","27.60495376586914","85.3395004272461"
"Land - Plotted",,,"For Sale - Land","28000000",,,,,"Land For Sell Near Kantipur Colony, Lalitpur","Nakhipot, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.644123077392578","85.31226348876953"
"HouseIndividual",,"1","For Rent - Flat & Apartment","18000","2","Ground",,"1","2BHK Flat Rent in Balkot, Bhaktapur","Balkot, Madhyapur Thimi-5, Bhaktapur","27.668899536132812","85.36038970947266"
"CommercialBuilding",,"5","For Sale - House","50000000","8","3.5","2","2","House exchange with land","Bhangal 8, Budhanilakantha-8, Kathmandu","27.75312042236328","85.34976959228516"
"House - Individual",,"6","For Rent - House","150000","9","3","2","1","House For Rent at Dhumbarahi, Chappal Karkhana","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"6","For Rent - House","325000","8","3","1","1","Bunglow House On Rent at Dhumbarahi","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"5","For Rent - House","300000","6","3","1","1","Furnished Bunglow House On Rent at Lazimpat","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","18000","2","Ground",,"1","2BHK Flat Rent in Balkot, Bhaktapur","Balkot, Madhyapur Thimi-5, Bhaktapur","27.668899536132812","85.36038970947266"
"Bunglow",,"3","For Sale - House","45000000","6","3","2","2","Brand New Semi Bunglow House On Sale at Sukedhara","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Sale - House","42000000","6","3","2","2","Brand New Semi Bunglow On Sale at Sukedhara","Location","27.717199325561523","85.3239974975586"
"House - Semi Commercial",,"4","For Sale - House","46000000","7","5","2","2","Commercial House On Sale at Sukedhara, Kathmandu","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"3","For Sale - House","59000000","6","3","2","2","Brand New Semi Bunglow House On Sale at Sukedhara","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Rent - House","350000","6","3","2","2","Royal Bunglow House On Rent at Ganesh Chowk","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"1","For Rent - House","220000","4","3","1","1","Furnished Bunglow House On Rent at UN Park","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - House","150000","5","3","1","2","Bunglow House On Rent at Bhaisepati, Lalitpur","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","4400000",,,,,"Land On Sale At Pasikot, Budhanilkantha","Pasikot, Budhanilakantha-4, Kathmandu","27.766910552978516","85.3478012084961"
"LandIndividual",,,"For Sale - Land","2500000",,,,,"Jagga for Sale in Nagarkot","Kathmandu Nepal, Kathmandu-8, Kathmandu","27.710750579833984","85.3485107421875"
"House In a Colony",,"2","For Sale - House","45000000","4","3","1","2","Beautiful Colony House For Sale at Hepali Height","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","11000","2","First",,"0","2BK Flat Rent in Saraswotikhel, Madhyapur Thimi","Saraswotikhel, Changunarayan-1, Bhaktapur","27.695003509521484","85.4027328491211"
"LandIndividual",,,"For Sale - Land","3190000",,,,,"Hattiban 5 Aana Residential Land on Sale","Hattiban Housing, Lalitpur-28, Lalitpur","0","0"
"Bunglow",,"2","For Sale - House","59900000","5","3","2","2","Brand New Semi Bunglow For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","36000000","5","3","1","1","Bunglow House On Sale at Samakhusi, Near Chowk","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"5","For Sale - House","32000000","6","2.5","2","2","House On Sale At Budhanilkantha","Budhanilkantha, Budhanilakantha-5, Kathmandu","27.77964973449707","85.3537368774414"
"House - Individual",,"4","For Sale - House","23000000","3","3","2","2","New House For Sale at Tokha, MeghaCity Height","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"3","For Sale - House","42000000","6","3","2","2","Brand New Semi Bunglow For Sale at Basundhara","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","16000","1","2",,"1","1bhk lokanthali rent ","Lokanthali Manohara Park, Madhyapur Thimi-1, Bhaktapur","27.671369552612305","85.3553466796875"
"HouseSemiCommercial",,"1","For Rent - Office Space","50000","4","2.5",,,"Commercial Space for rent at Teku/Tripureshwor","Teku, Bansighat Marg, Kathmandu-11, Kathmandu","27.694250106811523","85.30950164794922"
"Land - Individual",,,"For Sale - Land","41",,,,,"Land On Sale","Harisiddhi, Lalitpur, Lalitpur Metropolitan City, Lalitpur","0","0"
"HouseIndividual",,"8","For Rent - House","300000","8","2.5","2","2","2 house on rent at dhapasi","Dhapasi House, Tokha-7, Kathmandu","27.743860244750977","85.32720184326172"
"House - Semi Commercial",,"6","For Rent - House","99000","5","2","3","3","House for rent in KTM","Location","27.774532318115234","85.26655578613281"
"HouseIndividual",,"3","For Rent - House","363000","6","3","1","1","Spacious 9 Anna House for Rent in Kalopul","Kalo Pul, Kathmandu-12, Kathmandu","27.692834854125977","85.30452728271484"
"HouseIndividual",,"2","For Rent - House","110000","4","2.5","1","1","Luxurious House for rent in Jawalakhel","Jawalakhel Police Station, Lalitpur-4, Lalitpur","27.67378044128418","85.31236267089844"
"Bunglow",,"3","For Sale - House","35000000","6","3","2","2","Brand New Semi Bunglow House On Sale at Tokha","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Rent - House","125000","6","3","1","1","Bungalow for Rent at dhapasi hight","Location","27.73863983154297","85.3195571899414"
"HouseIndividual",,"3","For Rent - House","168000","7","2.5","1","2","Semi furnished House for rent at Baluwatar, KTM","Baluwatar Cricket Club, Kathmandu-2, Kathmandu","27.721439361572266","85.32778930664062"
"HouseInColony",,"1","For Rent - Flat & Apartment","30000","1","Fourth",,"1","1BHK Fully Furnished Flat Rent in Satdobato Chowk","Satdobato-tikabhairab Rd, Lalitpur-14, Lalitpur","27.651369094848633","85.32174682617188"
"HouseIndividual",,"5","For Sale - House","35000000","6","3","3","3","House On Sale At Aakashedhara, Kapan ","Aakashedhara, Sir Raj Bahadur Road, Budhanilakantha-10, Kathmandu","27.735349655151367","85.35517120361328"
"HouseIndividual",,"Sharing","For Rent - Flat & Apartment","12000","Sharing","2nd",,"No","1bk on rent","Kathmadon Injiniyaring Kalej - काठमाडौं इन्जिनियरिङ्ग कलेज, Kathmandu-13, Kathmandu","27.69915008544922","85.2971420288086"
"House - Individual",,"2","For Sale - House","15000000","4","3","2","1","House For Sale at Budhanilkantha, Hattigauda Chowk","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","12000","2","First",,"0","2 Room(Private bathroom Flat For Rent in Sunakothi","Sunakothi, Lalitpur-25, Lalitpur","27.6345157623291","85.31547546386719"
"Bunglow",,"4","For Sale - House","39000000","6","4","2","2","Brand New Semi Bunglow House On Sale at Golfutar","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Sale - House","35000000","6","4","4","2","Brand New House For Sale at MataTirtha,Chandragiri","Location","0","0"
"House - Individual",,"2","For Sale - House","37000000","7","4","3","2","House For Sale at PepsiCola, Kathmandu","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","2300000",,,,,"2300000matra Anako Bungamatima 20 Feet Bato Vayeko","Amarapur Early Child Development Center, Machhindra Nath Marga, Bungamati, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.629962921142578","85.30343627929688"
"House - Individual",,"4","For Sale - House","19000000","5","3","2","1","House For Sale at Nagarjun, Ramkot","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - Flat & Apartment","35000","2","0",,"1","2BHK Furnished Flat For Rent At Dhapakhel,Lalitpur","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Sale - House","55000000","6","3","2","2","Brand New Semi Bunglow For Sale at Sukedhara","Location","27.70345115661621","85.32716369628906"
"House - Individual",,"4","For Sale - House","43000000","6","3","2","2","New House For Sale at Lazimpat, Ranibari","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Sale - House","32500000","10","4","3","3","House On Sale at Basundhara, GreenCity Hospital","Location","27.717199325561523","85.3239974975586"
"LandAgricultural",,,"For Sale - Land","8000000",,,,,"10 Ropani land for sale in Thansingh - Nuwakot.","Kakani, Kakani-5, Nuwakot","0","0"
"House - Individual",,"3","For Sale - House","35000000","5","3","1","2","House For Sale at Samakhusi, Near Chowk","Location","27.717199325561523","85.3239974975586"
"HouseSemiCommercial",,"Separate","For Rent - Office Space","32000",,"Fourth Floor",,,"4 Room on Rent at Tinkune for office","Mega Web Link Pvt Ltd - Digital Marketing Agency In Nepal, Kathmandu-9, Kathmandu","27.68775749206543","85.34989929199219"
"House - Individual",,"3","For Sale - House","84500000","9","3","2","2","Land With House For Sale at Budhanilkantha, Park V","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","17000","2","Ground",,"1","2BHK Flat Rent in Tikathali, Imadol, Lalitpur","Tikathali, Mahalaxmi-5, Lalitpur","27.66320037841797","85.36112976074219"
"HouseSemiCommercial",,,"For Rent - Office Space","16000",,"Third Floor",,,"2 Room on Rent for Office at Tinkune","Ismt College, Kathmandu-31, Kathmandu","27.688730239868164","85.34911346435547"
"LandIndividual",,,"For Sale - Land","8500000",,,,,"Residential land for sale at sanepa Heights","Sanepa Height, Lalitpur-2, Lalitpur","27.684839248657227","85.30705261230469"
"HouseIndividual",,"1","For Rent - Flat & Apartment","13500","2","Ground",,"1","2BHK Flat Rent in Dhapakhel, Lalitpur","Dhapakhel, Lalitpur-23, Lalitpur","27.63888931274414","85.3343505859375"
"House - Individual",,"4","For Sale - House","19900000","6","3","2","2","Brand New House For Sale at Tokha, Bhatkeko Pul","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"3","For Sale - House","28500000","6","3","3","3","Brand New Semi Bunglow House On Sale at Tokha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"4","For Sale - House","46000000","13","3","2","-","House for Sale at Kalanki, Khasi Bazar!","Khasi Bazar, Kathmandu-14, Kathmandu","27.689430236816406","85.28453826904297"
"House - Individual",,"2","For Sale - House","27000000","4","3","1","2","Twins House For Sale at GreenLand, Near Grande","Location","27.717199325561523","85.3239974975586"
"House - Individual",,,"For Rent - Office Space","50000",,"1",,,"2BHK Office Space for Rent in Sanepa","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"2","For Rent - Flat & Apartment","65000","3","1ST FLOOR",,"1","DHUMBARAHI 3BHK 2BATHROOM FLAT FOR RENT CAR P,S","Dhumbarahi Dry Cleaners, Dhumbharai Marg, Kathmandu-4, Kathmandu","27.722639083862305","85.33854675292969"
"House - Individual",,,"For Rent - Office Space","50000",,"1",,,"2BHK Office Space for Rent in Sanepa","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Rent - Flat & Apartment","59900","3","1",,"1","3 Bedroom Unfurnished Hattigauda behind cg hill ","Hattigauda, Golphutar Main Sadak, Budhanilakantha-7, Kathmandu","27.755348205566406","85.34786224365234"
"House - Semi Commercial",,"4","For Sale - House","25000000","7","3","2","2","Commercial House On Sale at Tokha, Dhaneshwor","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Rent - Office Space","100000",,"2","1",,"Rent @ baluwatar","Himalayan Java Baluwatar, Thirbam Sadak, Kathmandu-4, Kathmandu","0","0"
"House - Individual",,,"For Rent - Office Space","40000",,"2",,,"Office Space for Rent in Sanepa – 2BHK","Location","27.717199325561523","85.3239974975586"
"House - Individual",,,"For Rent - Office Space","40000",,"2",,,"Office Space for Rent in Sanepa – 2BHK","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Sale - House","15000000","2","1","1","1","House For Sale at Tokha, Bhatkeko Pul","Location","27.717199325561523","85.3239974975586"
"LandAgricultural",,,"For Sale - Land","15300000",,,,,"जग्गा ११रोपनी ८ आना","Dhunibesi-1, Dhading,  Bagmati Pradesh","0","0"
"House - Individual",,"1","For Rent - Flat & Apartment","30000","2","0",,"1","for rent flat 3 room kitchen sanepa","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Rent - Land","88000",,,,,"Prime 7 Aana Land for Rent in Kumaripati, Lalitpur","Green Cephal, Lalitpur-5, Lalitpur","0","0"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","155000","3","2nd",,"1","KUPONDOLE – 3BHK FURNISHED APARTMENT RENT ","Kupondole Kuleshwor Bridge, Kathmandu-14, Kathmandu","27.6912899017334","85.30223083496094"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","82000","1","1",,"1","KUPONDOLE – 1BK STUDIO APARTMENT RENT ","Kupondole Kuleshwor Bridge, Kathmandu-14, Kathmandu","27.6912899017334","85.30223083496094"
"LandAgricultural",,,"For Sale - Land","20400000",,,,,"34 Ropani land for sale in Katheri - Nuwakot.","Panchakanya, Nuwakot","27.899078369140625","85.32301330566406"
"CommercialBuilding",,,"For Rent - Office Space","260000",,"Ground - 4th",,,"JWALAKHEL – BRAND NEW COMMERCIAL SPACE LEASE ","Jwalakhel Food Land, Lalitpur-4, Lalitpur","27.674339294433594","85.31452178955078"
"House - Individual",,"4","For Rent - House","199000","4","2","1","1","House For Rent at Maharajgunj, Chundevi","Location","27.717199325561523","85.3239974975586"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","130000","1","1",,"1","JHAMSIKHEL 1BHK FULLY FURNISHED FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,"4","For Rent - House","275000","5","2.5","1","1","JHAMSIKHEL – SPACIOUS 5BHK HOUSE FOR RENT ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"House - Individual",,"3","For Sale - House","28000000","6","3","2","2","New House For Sale at Manamaiju, Phutung","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Rent - Land","150000",,,,,"JHAMSIKHEL – LAND FOR LEASE ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,"Attach","For Rent - Flat & Apartment","18000","Master bedroom","Ground",,"Avaiilable","2bhk on rent","Jadibuti Bus Station, Kathmandu-32, Kathmandu","27.674699783325195","85.35472869873047"
"Land - Individual",,,"For Sale - Land","10500000",,,,,"land on sele 8 aana sanepa","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Sale - House","21000000","9","3","2","2","House For Sale at Manamaiju, Bhatkeko Pul","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Sale - House","17500000","6","3","2","2","House For Sale at Manamaiju, Indreni Pul","Location","27.717199325561523","85.3239974975586"
"CommercialBuilding",,,"For Rent - Shutter & Shop Space","200000",,,,,"JHAMSIKHEL – CAFE/COMMERCIAL SPACE FOR RENT ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"House - Individual",,"2","For Sale - House","24000000","5","2","2","2","House For Sale at Tokha, MeghaCity Height","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","252000000",,,,,"JHAMSIKHEL – 28 AANA EAST-FACING LAND FOR SALE ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"LandIndividual",,,"For Sale - Land","12000000",,,,,"JHAMSIKHEL – 8 ROPANI LAND FOR SALE ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"House - Individual",,"5","For Sale - House","35000000","10","4","3","3","House For Sale at Samakhusi, Near Chowk","Location","27.703506469726562","85.32704162597656"
"HouseIndividual",,"3","For Rent - House","250000","4","2 Floors","1","1","JHAMSIKHEL – 4BHK HOUSE FOR RENT ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,"4","For Sale - House","27000000","6","2.5","2","2","House On Sale Just 1.5 Km From Hattigaunda Chowk","Hattigauda, Golphutar Main Sadak, Budhanilakantha-7, Kathmandu","27.755348205566406","85.34786224365234"
"Bunglow",,"4","For Sale - House","67500000","4","2.5","1","1","BUDANILKANTHA – 4BHK BUNGALOW UNITS FOR SALE ","Budanilkantha, Budhanilakantha-1, Kathmandu","27.778169631958008","85.36434173583984"
"Bunglow",,"4","For Sale - House","57500000","4","2.5","1","1","BUDANILKANTHA – 4BHK BUNGALOW UNITS FOR SALE ","Budanilkantha, Budhanilakantha-1, Kathmandu","27.778169631958008","85.36434173583984"
"LandCommercialUse",,,"For Sale - Land","11200000",,,,,"7 Ropani land for sale in Dotel Beshi- Nuwakot.","Tadi, Kharanitar-Satbishe Road, Tadi-3, Nuwakot","27.921449661254883","85.30767822265625"
"House - Individual",,"2","For Sale - House","28000000","5","3","1","2","House For Sale at Swoyambhu, Pachdhara Chowk","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Sale - House","65000000","6","3","2","3","House For Sale at Ganesh Chowk, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - House","120000","5","FULL","1","1","HATTIGAUDA HOUSE RENT","Hattigauda, Golphutar Main Sadak, Budhanilakantha-7, Kathmandu","27.755348205566406","85.34786224365234"
"House - Individual",,"3","For Sale - House","28000000","6","3","2","2","House For Sale at Rudreshwor, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Sale - House","42500000","6","3","2","2","Brand New Semi Bunglow For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Rent - House","75000","4","3","1","1","4BHK full house on rent in Solti mode","Location","27.70039176940918","85.29742431640625"
,,,"For Rent - Shutter & Shop Space","7000",,,,,"Shutter / Godown Space For Rent","Nagadesh To KamalPokhari Marg Bode, Naagdesh (Nagadesh), Naagdesh (Nagadesh), Madhyapur Thimi Municipality, Bhaktapur","27.689327239990234","85.38609313964844"
"House - Individual",,"4","For Sale - House","42500000","9","5","2","2","Colony Hosue For Sale at Samakhusi, Town Planning","Location","27.717199325561523","85.3239974975586"
"HouseSemiCommercial",,,"For Rent - Office Space","50000",,"2nd floor",,,"Office for Rent @ Thulobharyang","thulobharayang 3 nagarjun , Nagarjun-3, Kathmandu","0","0"
"HouseIndividual",,"1","For Rent - Flat & Apartment","11000","2","Ground",,"0","2BK Flat Rent in Matatirtha, Chandragiri,Kathmandu","Matatirtha, Chandragiri-8, Kathmandu","27.670101165771484","85.22825622558594"
"HouseIndividual",,"3","For Sale - House","35500000","5","3","1","2","HOUSE FOR SALE,LRE_0513","Gokarneshwor Municipality Ward No. 6 Office, Gokarneshwor-5, Kathmandu","27.720319747924805","85.36734771728516"
"LandCommercialUse",,,"For Sale - Land","42400000",,,,,"6 Ropani land for sale in Okharpauwa- Nuwakot.","Okharpauwa, Kakani-2, Nuwakot","27.790658950805664","85.24637603759766"
"House - Individual",,"4","For Rent - House","165000","3","4","1","2","Full furnished House for rent @
Lazimpat, Kathmand","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","9200000",,,,,"Land For Sale at Gokarna, Namgyal Chowk","Location","27.717199325561523","85.3239974975586"
"ShopClothingShoes",,,"Business & Shop For Sale","3300000",,,,,"Saja Fancy Collection, Koteshowr","Koteshowr, Kathmandu-32, Kathmandu","27.678770065307617","85.3486099243164"
"House - Individual",,"5","For Rent - House","220000","6","3","1","2","House for rent @ Maharajgunj, ktm","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","58000000",,,,,"Land On Sale at Deuba Chowk, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Apartment Building",,"1","For Rent - Flat & Apartment","20000","1","3",,"1","Hotel room on monthly rent in lakeside, Pokhara","Location","28.212482452392578","83.96249389648438"
"Land - Individual",,,"For Sale - Land","36000000",,,,,"Land For Sale at Deuba Chowk, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Apartment Building",,"2","For Sale - Apartment","28500000","3","1","1","1","Cityscape Apartment For Sale At Hattiban","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","22400000",,,,,"Land For Sale at Baluwakhani, Kapan","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","48000000",,,,,"Land For Sale at Hepali Height, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","33000000",,,,,"Land For Sale at Budhanilkantha, Kathmandu","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","42000000",,,,,"Land On Sale at Rudreshwor, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"CommercialBuilding",,"2","For Rent - Office Space","135000",,"3rd",,,"🏢 Commercial Space for Rent in kumaripati","Kumaripati Ganesh, Lalitpur-5, Lalitpur","27.671470642089844","85.31905364990234"
"Land - Individual",,,"For Sale - Land","35000000",,,,,"Land For Sale at Rudreshwor, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"ApartmentBuilding",,"4","For Rent - Office Space","135000",,"3rd",,,"🏢 Commercial Space for Rent in Kumaripati","Kumaripati Ganesh, Lalitpur-5, Lalitpur","27.68568229675293","85.31803894042969"
"Land - Individual",,,"For Sale - Land","352000000",,,,,"Land For Sale at Budhanilkantha, Kathmandu","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"10","For Rent - House","275000","8","3","2","2","2 House for rent @ Dhapasi height","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Rent - House","130000","10","4","3","3","House for rent @ Jorpati, Mulpani","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","9000000",,,,,"Land For Sale at Chunikhel, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"CommercialBuilding",,"4","For Rent - Office Space","300000",,"2nd",,,"🏢 Commercial Space for Rent Kumaripati","Kumaripati Ganesh, Lalitpur-5, Lalitpur","27.671470642089844","85.31905364990234"
"HouseIndividual",,"1","For Rent - Flat & Apartment","50000","2","1/2",,"1","2BHK Fully Furnished Duplex Flat Rent in Chunikhel","Chunikhel, Lalitpur-22, Lalitpur","27.619239807128906","85.30509185791016"
"Land - Individual",,,"For Sale - Land","4700000",,,,,"land for sale bhaisepati lalitapur 5 aana","Binayak Marg, Vinayak Colony, Tallogau, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.656822204589844","85.30009460449219"
"House - Individual",,"4","For Rent - House","165000","5","3","1","1","House for rent @ Tudaldevi, Baluwatar, ktm","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Rent - House","160000","6","3","1","1","House for rent @ Nrs.1,60,000/-
chapalkarkhana, ma","Location","27.717199325561523","85.3239974975586"
"CommercialBuilding",,"2","For Rent - Office Space","300000",,"ground floor",,,"Commercial Space for rent In Kumaripati","Kumaripati Ganesh, Lalitpur-5, Lalitpur","27.671470642089844","85.31905364990234"
"House - Individual",,"4","For Rent - House","170000","8","3","1","1","house for rent @ Koteshwor, ktm","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Sale - House","29000000","7","3","2","2","New House For Sale at Tokha, Dhaneshwor","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","4700000",,,,,"land for sale bhaisepati lalitapur 4 aana","Binayak Marg, Vinayak Colony, Tallogau, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.6573486328125","85.300048828125"
"House - Individual",,"4","For Sale - House","19000000","7","3","2","2","House For Sale at Tokha, Saibaba Chowk","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Sale - House","30000000","6","3","2","2","House","Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur","0","0"
"House - Individual",,"4","For Rent - House","150000","4","3","1","2","House for rent @ Samakhusi, Gangabu","Location","27.717199325561523","85.3239974975586"
"LandPlotted",,,"For Sale - Land","5000000",,,,,"land sale or exchange with modern house","Radhe Radhe House, Madhyapur Thimi-2, Bhaktapur","27.681049346923828","85.36773681640625"
"House - Semi Commercial",,"4","For Sale - House","33000000","12","4","3","3","Commercial House On Sale at Gongabu","Location","27.717199325561523","85.3239974975586"
"House - Individual",,,"For Rent - Office Space","120000",,"2",,,"2 floor space  for rent @ Baneshwor, ktm","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Sale - House","42000000","10","3","3","3","Land With House For Sale at Dhapasi Height","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","500000",,,,,"11 Bigha land sale at Sarlahi Barathawa","Buddha Nagar, Shram Marg, Kathmandu-10, Kathmandu","27.68722915649414","85.32926177978516"
"House - Individual",,"3","For Sale - House","35000000","6","3","2","2","House For Sale at Samakhusi, Near Chowk","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","150000",,,,,"Land Sale जग्गा बिक्रीमा ","Arthik Awaj, Kathmandu-31, Kathmandu","27.68998908996582","85.34272003173828"
"Bunglow",,,"For Rent - Office Space","390000",,"4",,,"Office Space for Rent
Location: Tripureshwor, Kath","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"5","For Rent - House","160000","7","3","2","2","House for rent @ Dhumbarahi, Chakrapath","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","3000000",,,,,"Land sale at Dhapakhel height 9841306429","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","35000000","5","3","4","2","Brand New Semi Bunglow On Sale at Deuba Niwas","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Sale - House","15000000","6","3","2","2","House For Sale at Budhanilkantha, Kathmandu","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"3","For Sale - House","35000000","7","3","2","3","Brand New House For Sale at Baluwakhani, Kapan","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"2","For Sale - House","13500000","2","1","1","1","Land With House For Sale at Nakhipot, Kantipur C","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Rent - House","90000","4","3","1","1","House for rent @ Hattiban, Lalitpur","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Sale - House","55000000","8","4","3","3","New House For Sale at Samakhusi, Near Chowk","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"5","For Sale - House","45500000","5","3","2","2","Semi bungalow for sale @ Sukedhara, Nilopul. Rs.4.","Location","27.717199325561523","85.3239974975586"
